customerID;gender;Partner;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;PaperlessBilling
6733-LRIZX;Male;No;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes
9503-XJUME;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4367-NHWMM;Female;No;No;DSL;No;No;No;No;No;No;Yes
3727-RJMEO;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Yes
3779-OSWCF;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;No
6736-DHUQI;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;No
3915-ODIYG;Male;No;Yes;DSL;Yes;Yes;No;No;No;Yes;Yes
1360-RCYRT;Male;Yes;No;DSL;No;No;No;Yes;No;No;Yes
2724-FJDYW;Male;No;No;DSL;No;No;Yes;Yes;Yes;Yes;No
4451-RWASJ;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
6646-VRFOL;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
3460-TJBWI;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5917-HBSDW;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5685-IIXLY;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes
5671-UUNXD;Female;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Yes
0956-ACVZC;Female;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
2325-NBPZG;Female;No;Yes;Fiber optic;Yes;No;No;No;No;No;Yes
4250-ZBWLV;Male;No;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;No
4482-FTFFX;Male;No;Yes;DSL;No;No;Yes;Yes;No;No;No
8859-DZTGQ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0440-MOGPM;Female;No;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Yes
0020-JDNXP;Female;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;No
3752-CQSJI;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
5025-GOOKI;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
4698-KVLLG;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5095-AESKG;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes
2887-JPYLU;Female;No;Yes;DSL;No;No;No;No;No;No;No
4770-QAZXN;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4896-CPRPF;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
1871-MOWRM;Male;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;No
9714-EDSUC;Male;No;Yes;Fiber optic;Yes;Yes;No;Yes;No;Yes;Yes
2027-OAQQC;Female;No;No;DSL;No;No;Yes;No;Yes;Yes;Yes
0282-NVSJS;Female;Yes;No;DSL;No;No;No;Yes;No;No;Yes
9090-SGQXL;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
6595-YGXIT;Male;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes
7353-YOWFP;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
9835-ZIITK;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes
8008-ESFLK;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No
7537-CBQUZ;Male;No;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes
1555-DJEQW;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes
5649-TJHOV;Male;Yes;No;DSL;No;No;No;No;No;Yes;No
0519-XUZJU;Female;No;Yes;Fiber optic;No;No;No;No;No;No;No
3363-EWLGO;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4750-UKWJK;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
6338-AVWCY;Male;No;No;DSL;No;No;Yes;No;Yes;No;Yes
1689-YQBYY;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes
4487-ZYJZK;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2959-FENLU;Female;No;Yes;Fiber optic;No;No;Yes;No;No;Yes;Yes
0708-LGSMF;Male;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Yes
9253-QXKBE;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
7634-HLQJR;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0487-RPVUM;Male;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;No;No
4079-ULGFR;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2516-XSJKX;Female;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;No
0057-QBUQH;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
9445-SZLCH;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Yes
6599-SFQVE;Female;No;Yes;DSL;No;No;No;No;No;Yes;Yes
8331-ZXFOE;Female;No;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Yes
4003-FUSHP;Male;No;Yes;DSL;No;No;No;Yes;Yes;No;Yes
0356-ERHVT;Male;Yes;Yes;DSL;No;No;No;No;No;No;Yes
7325-ENZFI;Female;No;No;DSL;Yes;Yes;No;Yes;No;No;Yes
4884-ZTHVF;Female;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes
3920-HIHMQ;Female;No;Yes;DSL;No;No;No;No;No;No;Yes
3055-OYMSE;Female;No;Yes;Fiber optic;No;Yes;No;No;No;No;Yes
0613-WUXUM;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
7568-PODML;Male;No;No;DSL;No;No;No;No;Yes;Yes;Yes
4458-KVRBJ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5349-IECLD;Male;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;No
1397-XKKWR;Male;No;No;DSL;Yes;No;Yes;No;No;No;No
3945-GFWQL;Female;No;Yes;DSL;No;No;No;No;No;No;Yes
8097-OMULG;Male;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;No
6013-BHCAW;Male;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;Yes
0401-WDBXM;Male;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Yes
3387-PLKUI;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
6096-EGVTU;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
3797-VTIDR;Male;Yes;No;DSL;No;No;No;No;No;No;Yes
5081-NWSUP;Female;No;Yes;DSL;No;Yes;No;Yes;No;Yes;No
2580-ATZSQ;Female;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;No
8085-MSNLK;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No
9691-HKOVS;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes
9881-VCZEP;Female;Yes;Yes;DSL;No;Yes;No;No;No;No;No
9526-BIHHD;Male;No;No;DSL;Yes;No;No;No;No;No;No
8757-TFHHJ;Male;No;Yes;DSL;Yes;No;No;No;No;No;Yes
4523-WXCEF;Female;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;No
1468-DEFNC;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
5119-KEPFY;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
8364-TRMMK;Female;No;Yes;DSL;No;No;No;No;No;No;Yes
0916-KNFAJ;Male;Yes;Yes;DSL;Yes;No;Yes;No;No;Yes;Yes
8319-QBEHW;Male;No;No;DSL;No;Yes;No;No;Yes;No;Yes
3063-QFSZL;Female;No;Yes;DSL;No;No;No;No;No;Yes;Yes
8775-LHDJH;Female;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes
9625-QNLUX;Male;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes
3097-NQYSN;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Yes
4024-CSNBY;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Yes
7110-BDTWG;Female;Yes;No;DSL;No;No;Yes;Yes;No;Yes;Yes
7493-GVFIO;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0690-SRQID;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
9605-WGJVW;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes
9114-DPSIA;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;No
4700-UBQMV;Male;Yes;Yes;DSL;Yes;No;No;No;Yes;Yes;Yes
7711-GQBZC;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
3565-UNOCC;Female;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
4627-MIHJH;Female;No;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;No
9795-NREXC;Female;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes
8573-CGOCC;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
7356-AYNJP;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
9249-FXSCK;Female;No;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes
5493-SDRDQ;Male;No;Yes;DSL;Yes;No;Yes;No;No;No;Yes
6286-SUUWT;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4819-HJPIW;Male;No;No;DSL;No;No;No;No;No;No;No
8654-DHAOW;Female;No;Yes;DSL;No;Yes;No;No;No;No;No
5438-QMDDL;Female;Yes;Yes;DSL;No;Yes;No;No;No;Yes;Yes
9812-GHVRI;Female;No;Yes;Fiber optic;No;No;No;No;No;Yes;No
5553-AOINX;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
1228-ZLNBX;Male;No;Yes;Fiber optic;No;No;No;No;No;No;No
4226-KKDON;Male;No;Yes;DSL;No;Yes;No;Yes;Yes;No;Yes
3831-YCPUO;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes
7445-WMRBW;Female;No;Yes;DSL;No;Yes;Yes;Yes;Yes;No;Yes
3308-DGHKL;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
9924-JPRMC;Male;No;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0080-EMYVY;Female;No;Yes;DSL;No;Yes;No;No;No;No;No
6218-KNUBD;Male;No;Yes;DSL;No;Yes;No;No;Yes;No;No
7337-CINUD;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
7609-NRNCA;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0623-EJQEG;Male;No;Yes;Fiber optic;Yes;No;No;Yes;No;Yes;No
7153-CHRBV;Female;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Yes
0871-URUWO;Male;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
9190-MFJLN;Male;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
6198-PNNSZ;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;No
3317-VLGQT;Female;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Yes
4132-POCZS;Male;Yes;No;DSL;Yes;No;No;No;No;Yes;Yes
5614-DNZCE;Female;No;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Yes
1095-JUDTC;Female;No;Yes;Fiber optic;No;Yes;No;Yes;Yes;No;Yes
3896-RCYYE;Female;No;No;DSL;No;No;Yes;Yes;Yes;Yes;Yes
9638-JIQYA;Male;No;No;DSL;No;No;No;No;No;No;Yes
3258-SANFR;Male;No;Yes;DSL;No;No;No;No;No;No;No
3726-TBHQT;Male;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes
3190-ITQXP;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0870-VEMYL;Female;No;Yes;DSL;Yes;No;No;Yes;No;No;No
4833-QTJNO;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;No
3039-MJSLN;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0178-CIIKR;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5385-SUIRI;Male;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Yes
3982-XWFZQ;Female;Yes;Yes;DSL;No;No;No;No;No;No;Yes
5774-QPLTF;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
2322-VCZHZ;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Yes
5010-IPEAQ;Female;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;No;No
4009-ALQFH;Female;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
6383-ZTSIW;Female;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;No
8990-YOZLV;Female;No;Yes;DSL;Yes;Yes;No;Yes;No;No;Yes
3069-SSVSN;Female;No;No;DSL;No;No;No;No;No;No;No
5222-IMUKT;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;No
3627-FCRDW;Female;No;Yes;Fiber optic;No;No;No;No;No;No;No
7562-GSUHK;Female;No;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Yes
6685-XSHHU;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
8901-UPRHR;Female;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes
4903-UYAVB;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0118-JPNOY;Female;No;Yes;Fiber optic;Yes;No;No;No;Yes;No;Yes
6776-TLWOI;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
3845-FXCYS;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
5857-XRECV;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0725-CXOTM;Female;No;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes
4343-EJVQB;Male;No;Yes;Fiber optic;Yes;No;No;No;No;No;No
9000-PLFUZ;Female;Yes;No;DSL;No;Yes;No;No;Yes;Yes;Yes
3427-GGZZI;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes
7779-ORAEL;Male;Yes;Yes;DSL;Yes;No;Yes;Yes;No;Yes;No
0644-OQMDK;Male;No;Yes;Fiber optic;No;No;No;No;No;No;Yes
4077-CROMM;Female;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Yes
3154-CFSZG;Male;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;Yes;No
2868-MZAGQ;Male;No;Yes;Fiber optic;No;No;No;No;No;Yes;Yes
4847-QNOKA;Female;No;Yes;DSL;No;No;No;No;No;No;Yes
2220-IAHLS;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
1658-XUHBX;Female;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Yes
6379-RXJRQ;Male;Yes;Yes;Fiber optic;No;No;No;No;No;No;Yes
2378-HTWFW;Male;No;Yes;Fiber optic;Yes;No;No;No;No;Yes;No
8650-RHRKE;Male;No;No;DSL;No;No;Yes;No;No;No;Yes
4377-VDHYI;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Yes
0475-RIJEP;Male;No;Yes;Fiber optic;No;Yes;No;No;No;No;Yes
1260-TTRXI;Male;No;Yes;DSL;No;No;No;No;No;Yes;No
3719-TDVQB;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
6328-ZPBGN;Female;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
0201-MIBOL;Female;No;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Yes
4937-QPZPO;Male;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
2925-VDZHY;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;No
6981-TDRFT;Male;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Yes
3413-CSSTH;Male;No;Yes;DSL;No;No;Yes;No;No;No;Yes
8033-VCZGH;Male;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Yes
4789-KWMXN;Male;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes
0224-NIJLP;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
7542-CYDDM;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4718-WXBGI;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes
2867-UIMSS;Male;No;Yes;Fiber optic;No;No;No;No;No;Yes;No
8495-PRWFH;Female;No;Yes;DSL;No;No;Yes;No;No;No;No
0439-IFYUN;Female;No;Yes;Fiber optic;No;Yes;No;No;No;No;Yes
5716-LIBJC;Female;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
2868-LLSKM;Female;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Yes
8111-RKSPX;Male;No;Yes;Fiber optic;No;No;No;No;No;No;Yes
2988-QRAJY;Male;No;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes
1585-MQSSU;Male;No;Yes;DSL;No;No;No;Yes;No;No;No
0071-NDAFP;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2856-NNASM;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
7328-ZJAJO;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
6458-CYIDZ;Female;No;Yes;Fiber optic;Yes;Yes;No;No;No;No;No
8559-CIZFV;Male;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;No
1090-PYKCI;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;No;Yes
3058-WQDRE;Male;No;No;DSL;No;No;No;No;No;No;Yes
7547-EKNFS;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Yes
2279-AXJJK;Male;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Yes
6769-DYBQN;Male;No;Yes;Fiber optic;Yes;No;No;No;No;Yes;No
0909-SELIE;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Yes
3417-TSCIC;Male;No;No;DSL;No;No;No;No;No;No;Yes
1042-HFUCW;Female;No;Yes;DSL;No;Yes;No;Yes;No;No;Yes
4439-JMPMT;Female;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Yes
6537-OTKMY;Male;No;No;DSL;No;No;Yes;No;Yes;Yes;No
8999-EXMNO;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
6725-TPKJO;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2446-BEGGB;Female;No;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes
7162-WPHPM;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;No
1599-MMYRQ;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Yes
8821-KVZKQ;Female;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Yes
1496-GGSUK;Female;No;No;DSL;No;No;No;No;No;No;Yes
6434-TTGJP;Male;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;No
0042-JVWOJ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
0130-SXOUN;Male;No;Yes;Fiber optic;No;Yes;No;No;No;Yes;No
2575-GFSOE;Female;Yes;Yes;Fiber optic;No;No;No;No;No;No;Yes
2330-PQGDQ;Male;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;No
1452-UZOSF;Male;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;No;Yes
2097-YVPKN;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2842-JTCCU;Male;No;Yes;DSL;No;No;No;No;No;No;No
8597-CTXVJ;Male;No;Yes;DSL;Yes;Yes;No;Yes;No;No;No
6631-HMANX;Male;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Yes
9962-BFPDU;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
3296-SILRA;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Yes
9681-OXGVC;Female;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
6394-HHHZM;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5995-LFTLE;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
5180-UCIIQ;Male;Yes;No;DSL;Yes;No;No;No;No;Yes;No
1932-UEDCX;Male;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes
7153-OANIO;Male;No;Yes;Fiber optic;No;No;No;No;No;No;No
5188-HGMLP;Male;Yes;Yes;Fiber optic;No;No;No;No;No;No;No
0665-XHDJU;Male;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes
6521-YYTYI;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
8878-HMWBV;Male;No;Yes;DSL;No;No;Yes;No;No;No;Yes
8265-HKSOW;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;No
3544-FBCAS;Female;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Yes
5331-RGMTT;Male;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
4759-PXTAN;Female;Yes;Yes;DSL;No;Yes;No;Yes;Yes;Yes;Yes
7054-DMVAS;Male;No;Yes;DSL;Yes;Yes;No;No;Yes;No;Yes
3428-MMGUB;Male;No;Yes;Fiber optic;No;No;Yes;No;Yes;No;Yes
6549-BTYPG;Female;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;No
7823-JSOAG;Male;No;Yes;Fiber optic;No;No;No;No;No;No;No
3705-RHRFR;Female;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;No
9374-YOLBJ;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
9074-KGVOX;Male;Yes;No;DSL;Yes;No;No;No;Yes;No;Yes
6128-DAFVY;Female;No;No;DSL;No;No;No;No;Yes;Yes;Yes
9933-QRGTX;Female;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Yes
